日期,主题活动,时间,地点,要求对象,培训内容,要求,主要内容,内容
"5月7日
（周二）",学院党校开班,12：30—13:20,文三102,入党积极分子、发展对象、预备党员、团校学员,党校开班仪式,提前10分钟到会签到，如不能参加提前按照请假流程请假。,,
"5月7日
（周二）",学院党校开班,12：30—13:20,文三102,入党积极分子、发展对象、预备党员、团校学员,“党课”--马克思主义学院教师,提前10分钟到会签到，如不能参加提前按照请假流程请假。,,
"5月10日
（周五）",学院党课,12：30,待定, 入党积极分子、发展对象,入党流程和实务培训,提前10分钟到会签到，如不能参加提前按照请假流程请假。,,
"5月14日
（周二）",悦读沙龙,12：30,待定,发展对象、预备党员,“品读习近平总书记系列书籍”悦读沙龙,提前10分钟到会签到，如不能参加提前按照请假流程请假。,,
"5月17日
（周五）",学院党课,12：30,待定,入党积极分子、发展对象、预备党员,党课,提前10分钟到会签到，如不能参加提前按照请假流程请假。,,
"5月17日
（周五）",学院团课,12：30,待定,团校学员,团章学习,提前10分钟到会签到，如不能参加提前按照请假流程请假。,,
"5月19日
（周日）",学校党校,8:45—10:45,图信报告厅,发展对象、预备党员,党校开班典礼暨“用习近平新时代中国特色社会主义思想领航强国建设、民族复兴新征程”专题报告,严格按照学校党校规定执行,,
"5月19日
（周日）",学校党校,10:55-11:55,图信报告厅,发展对象、预备党员,《中国共产党纪律处分条例》学习,"需自带《中国共产党管理处分条例》
严格按照学校党校规定执行",,
"5月19日
（周日）
",学校党校,13:30-15:00,图信报告厅,发展对象,党章学习,"需自带《中国共产党章程》
严格按照学校党校规定执行",,
"5月19日
（周日）
",学校党校,15:10-16:40,图信报告厅,发展对象,"“传承红色基因 勇担时代使命”
红色家书诵读现场展演活动","需自带《中国共产党章程》
严格按照学校党校规定执行",,
"5月19日
（周日）",学校党校,15:15-16:40,文三102,预备党员,青马学员马克思主义经典著作分享,严格按照学校党校规定执行,,
培训期间,学校党校,待定,待定,发展对象,参观杭州国家版本馆,严格按照学校党校规定执行,,
培训期间,学校党校,各小组自行决定,各小组自行决定,发展对象,优秀共产党员访谈及撰写报告,5月20日前组长钉钉上发给徐瑞松,,
培训期间,学校党校,待定,待定,预备党员,参观廉政教育基地,严格按照学校党校规定执行,,
培训期间,学校党校,各支部自行决定,各支部自行决定,预备党员,主题党日活动,严格按照学校党校规定执行,,
培训期间,学校党校,各小组自行决定,各小组自行决定,发展对象、预备党员,"庆祝中华人民共和国成立75周年
“立足新时代 争做新青年”微作品征集",5月20日前组长钉钉上发给徐瑞松,,
,党团知识学起来,,线上学习,入党积极分子、发展对象、预备党员、团校学员,,开始学习强国积分截屏，党校期间学习积分至少达160分，党校结束积分截屏两张截屏放到一个word。,学习强国app学习,
,党团知识学起来,,线上学习,入党积极分子、发展对象、预备党员、团校学员,,按时完成青年大学习,青年大学习,
,活动参加起来,,爱活动地点,入党积极分子、发展对象、预备党员、团校学员,,参加学校、学院相关活动，入党积极分子、发展对象和预备党员、团校学员至少参加1次。注意保留参加凭证。,"积极参加爱城院上的爱活动,爱劳动和爱讲座",
,活动参加起来,,爱活动地点,入党积极分子、发展对象、预备党员,,至少参加一次学院相关活动红色活动，如：coding文化节-五四火炬 薪火相传、红色配音大赛、红色剧本杀,红色活动参与起来,
,活动参加起来,,待定,入党积极分子、发展对象、预备党员、团校学员,,自主报名,红色观影,
,"红色毅行
",,杭州国家版本馆,发展对象,,全体发展对象必须参加,参观杭州国家版本馆,
,"红色毅行
",,待定,预备党员,,全体预备党员都必须参加,参观廉政教育基地,
,总结,,/,入党积极分子、发展对象、预备党员,,每位学员结合自己的思想和生活实际、培训学习内容、党史学习教育、党的二十大精神、习总书记浙江考察重要讲话精神，党纪条例学习教育等，写一段300字以内的学习感悟。由各小组组长搜集整理成word文档。,总结培训收获,
,结业考试,另行通知,地点待定,入党积极分子,,请提前15分钟到考场,,学院结业考试
,结业考试,另行通知,地点待定,团校学员,,请提前15分钟到考场,,团校结业考试
